"ID","sex","repro_status","context","month","n_leader","n_follower","n_front","n_back","mean_poi","mean_poi_position"
"ABU","F","AFC","Defense",9,0,12,9,3,0.341666666666667,"Front"
"ABU","F","AFC","Feeding",9,1,15,5,10,0.593333333333333,"Back"
"ABU","F","AFC","Defense",10,0,3,2,1,0.4,"Front"
"ABU","F","AFC","Feeding",10,0,6,2,4,0.666666666666667,"Back"
"ALHAMBRA","F","AFL","Defense",7,1,18,13,5,0.333333333333333,"Front"
"ALHAMBRA","F","AFL","Feeding",7,10,30,24,6,0.341666666666667,"Front"
"ALHAMBRA","F","AFL","Defense",8,2,4,3,1,0.40625,"Front"
"ALHAMBRA","F","AFL","Feeding",8,3,15,12,3,0.383333333333333,"Front"
"BUBBLE","F","AFC","Defense",7,1,18,8,10,0.576388888888889,"Back"
"BUBBLE","F","AFC","Feeding",7,1,39,15,24,0.634615384615385,"Back"
"BUBBLE","F","AFC","Defense",8,0,6,3,3,0.625,"Back"
"BUBBLE","F","AFC","Feeding",8,0,18,3,15,0.722222222222222,"Back"
"BUENA","F","AFD","Defense",9,0,12,9,3,0.366666666666667,"Front"
"BUENA","F","AFD","Feeding",9,5,10,8,2,0.3,"Front"
"BUENA","F","AFD","Defense",10,0,3,2,1,0.233333333333333,"Front"
"BUENA","F","AFD","Feeding",10,1,5,5,0,0.36,"Front"
"BUENO","M","M","Defense",9,5,7,6,1,0.157142857142857,"Front"
"BUENO","M","M","Feeding",9,3,12,9,3,0.241666666666667,"Front"
"BUENO","M","M","Defense",10,2,1,1,0,0.4,"Front"
"BUENO","M","M","Feeding",10,1,5,4,1,0.42,"Front"
"CHINA","F","AFL","Defense",7,0,19,5,14,0.664473684210526,"Back"
"CHINA","F","AFL","Feeding",7,4,35,16,19,0.582142857142857,"Back"
"CHINA","F","AFL","Defense",8,0,6,2,4,0.791666666666667,"Back"
"CHINA","F","AFL","Feeding",8,1,17,10,7,0.477941176470588,"Front"
"CYNTHIA","F","AFC","Defense",9,0,12,8,4,0.408333333333333,"Front"
"CYNTHIA","F","AFC","Feeding",9,0,15,7,8,0.466666666666667,"Front"
"CYNTHIA","F","AFC","Defense",10,0,3,2,1,0.3,"Front"
