"ID","sex","repro_status","context","month","n_leader","n_follower","n_front","n_back","mean_poi","mean_poi_position"
"ABU","F","AFC","Defense",1,0,5,4,1,0.36,"Front"
"ABU","F","AFC","Feeding",1,0,6,3,3,0.566666666666667,"Back"
"ABU","F","AFC","Defense",2,0,10,7,3,0.35,"Front"
"ABU","F","AFC","Feeding",2,1,15,4,11,0.633333333333333,"Back"
"ALHAMBRA","F","AFL","Defense",0,1,19,14,5,0.315789473684211,"Front"
"ALHAMBRA","F","AFL","Feeding",0,12,33,27,6,0.333333333333333,"Front"
"ALHAMBRA","F","AFL","Defense",1,2,3,2,1,0.541666666666667,"Back"
"ALHAMBRA","F","AFL","Feeding",1,1,12,9,3,0.416666666666667,"Front"
"BUBBLE","F","AFC","Defense",0,1,19,8,11,0.592105263157895,"Back"
"BUBBLE","F","AFC","Feeding",0,1,44,17,27,0.622159090909091,"Back"
"BUBBLE","F","AFC","Defense",1,0,5,3,2,0.575,"Back"
"BUBBLE","F","AFC","Feeding",1,0,13,1,12,0.798076923076923,"Back"
"BUENA","F","AFD","Defense",1,0,5,5,0,0.06,"Front"
"BUENA","F","AFD","Feeding",1,0,6,6,0,0.25,"Front"
"BUENA","F","AFD","Defense",2,0,10,6,4,0.48,"Front"
"BUENA","F","AFD","Feeding",2,6,9,7,2,0.366666666666667,"Front"
"BUENO","M","M","Defense",1,1,4,4,0,0.075,"Front"
"BUENO","M","M","Feeding",1,3,3,1,2,0.5,"Front"
"BUENO","M","M","Defense",2,6,4,3,1,0.3,"Front"
"BUENO","M","M","Feeding",2,1,14,12,2,0.25,"Front"
"CHINA","F","AFL","Defense",0,0,20,6,14,0.65625,"Back"
"CHINA","F","AFL","Feeding",0,4,40,18,22,0.584375,"Back"
"CHINA","F","AFL","Defense",1,0,5,1,4,0.85,"Back"
"CHINA","F","AFL","Feeding",1,1,12,8,4,0.427083333333333,"Front"
"CYNTHIA","F","AFC","Defense",1,0,5,4,1,0.34,"Front"
"CYNTHIA","F","AFC","Feeding",1,0,6,4,2,0.383333333333333,"Front"
"CYNTHIA","F","AFC","Defense",2,0,10,6,4,0.41,"Front"
"CYNTHIA","F","AFC","Feeding",2,1,14,6,8,0.471428571428571,"Front"
"DOS","F","AFL","Defense",1,0,5,1,4,0.72,"Back"
"DOS","F","AFL","Feeding",1,1,5,3,2,0.42,"Front"
"DOS","F","AFL","Defense",2,1,9,7,2,0.377777777777778,"Front"
"DOS","F","AFL","Feeding",2,1,14,12,2,0.35,"Front"
"EW","F","AFC","Defense",1,0,5,2,3,0.56,"Back"
"EW","F","AFC","Feeding",1,0,6,3,3,0.566666666666667,"Back"
"EW","F","AFC","Defense",2,0,10,5,5,0.56,"Back"
"EW","F","AFC","Feeding",2,0,14,6,8,0.564285714285714,"Back"
"FELIPE","M","M","Defense",0,8,12,8,4,0.427083333333333,"Front"
"FELIPE","M","M","Feeding",0,4,41,23,18,0.490853658536585,"Front"
"FELIPE","M","M","Defense",1,0,5,4,1,0.35,"Front"
"FELIPE","M","M","Feeding",1,1,12,6,6,0.53125,"Back"
"GANDHI","M","M","Defense",0,2,18,14,4,0.402777777777778,"Front"
"GANDHI","M","M","Feeding",0,4,41,16,25,0.585365853658537,"Back"
"GANDHI","M","M","Defense",1,0,5,2,3,0.525,"Back"
"GANDHI","M","M","Feeding",1,2,11,4,7,0.625,"Back"
"GRU","M","M","Defense",0,1,19,8,11,0.703947368421053,"Back"
"GRU","M","M","Feeding",0,0,45,5,40,0.8,"Back"
"GRU","M","M","Defense",1,2,3,1,2,0.5,"Front"
"GRU","M","M","Feeding",1,3,10,3,7,0.675,"Back"
"LOCA","F","AFL","Defense",0,3,17,12,5,0.389705882352941,"Front"
"LOCA","F","AFL","Feeding",0,2,43,33,10,0.325581395348837,"Front"
"LOCA","F","AFL","Defense",1,0,5,4,1,0.225,"Front"
"LOCA","F","AFL","Feeding",1,1,12,6,6,0.5,"Front"
"MOMI","F","AFL","Defense",0,0,20,7,13,0.6,"Back"
"MOMI","F","AFL","Feeding",0,4,42,32,10,0.401785714285714,"Front"
"MOMI","F","AFL","Defense",1,1,4,1,3,0.78125,"Back"
"MOMI","F","AFL","Feeding",1,3,10,7,3,0.3875,"Front"
"MULLET","F","AFC","Defense",1,0,5,0,5,0.88,"Back"
"MULLET","F","AFC","Feeding",1,0,6,1,5,0.816666666666667,"Back"
"MULLET","F","AFC","Defense",2,0,10,2,8,0.83,"Back"
"MULLET","F","AFC","Feeding",2,0,15,1,14,0.793333333333333,"Back"
"OJER","F","AFC","Defense",0,1,19,13,6,0.381578947368421,"Front"
"OJER","F","AFC","Feeding",0,4,41,22,19,0.545731707317073,"Back"
"OJER","F","AFC","Defense",1,0,5,2,3,0.625,"Back"
"OJER","F","AFC","Feeding",1,0,13,10,3,0.394230769230769,"Front"
"OSO","M","M","Defense",1,3,2,2,0,0.25,"Front"
"OSO","M","M","Feeding",1,1,5,3,2,0.34,"Front"
"OSO","M","M","Defense",2,3,7,3,4,0.528571428571429,"Back"
"OSO","M","M","Feeding",2,3,12,7,5,0.533333333333333,"Back"
"PATILLAS","F","AFL","Defense",0,3,17,10,7,0.470588235294118,"Front"
"PATILLAS","F","AFL","Feeding",0,10,35,32,3,0.210714285714286,"Front"
"PATILLAS","F","AFL","Defense",1,0,5,5,0,0.1,"Front"
"PATILLAS","F","AFL","Feeding",1,1,12,11,1,0.25,"Front"
"QUERIDA","F","AFD","Defense",1,1,4,2,2,0.55,"Back"
"QUERIDA","F","AFD","Feeding",1,0,6,4,2,0.35,"Front"
"QUERIDA","F","AFD","Defense",2,0,10,8,2,0.32,"Front"
"QUERIDA","F","AFD","Feeding",2,0,15,13,2,0.34,"Front"
"SOLA","F","AFC","Defense",1,0,5,0,5,0.94,"Back"
"SOLA","F","AFC","Feeding",1,0,6,0,6,0.9,"Back"
"SOLA","F","AFC","Defense",2,0,10,0,10,0.91,"Back"
"SOLA","F","AFC","Feeding",2,0,15,0,15,0.926666666666667,"Back"
"TERE","F","AFD","Defense",1,0,5,4,1,0.42,"Front"
"TERE","F","AFD","Feeding",1,0,6,4,2,0.45,"Front"
"TERE","F","AFD","Defense",2,0,10,6,4,0.46,"Front"
"TERE","F","AFD","Feeding",2,1,14,14,0,0.285714285714286,"Front"
"WOW","F","AFL","Defense",1,0,5,2,3,0.62,"Back"
"WOW","F","AFL","Feeding",1,1,5,4,1,0.4,"Front"
"WOW","F","AFL","Defense",2,0,10,7,3,0.35,"Front"
"WOW","F","AFL","Feeding",2,1,14,8,6,0.392857142857143,"Front"
